Name	Transliteration	Anglicized	Tribe	Trittys	Bouleutaí	Gomme	Traill No.	Pleiades ID	Lat	Lon
Ἀγγελή	Angelḗ	Angele	3	coast	2.5	61	13	579867	37.8986560	23.9630575
Ἀγκυλή καθύπερθεν	Ankulḗ kathúperthen	Ankyle, Upper	2	city	1	49	14	579869	37.9766490	23.7559680
Ἀγκυλή ὑπένερθεν	Ankulḗ hupénerthen	Ankyle, Lower	2	city	1	49	15	579870	37.9800760	23.7503990
Ἀγνοῦς	Hagnoûs	Hagnous	5	inland	5	99	48	579938	37.8782600	23.9378525
Ἀγρυλή καθύπερθεν	Agrulḗ kathúperthen	Agryle, Upper	1	city	2	41.5	3	579848	37.9610000	23.7580000
Ἀγρυλή ὑπένερθεν	Agrulḗ hupénerthen	Agryle, Lower	1	city	3	41.5	4	579849	37.9606500	23.7371090
Ἀζηνιά	Azēniá	Azenia	8	coast	2	71	23	579890	38.1477570	23.5243225
Ἄθμονον	Áthmonon	Athmonon	7	inland	5	141	21	579887	38.0551270	23.8115515
Αἰγιλία	Aigilía	Aigilia	10	coast	6	93	5	579852	37.7924365	23.9097520
Αἰθαλίδαι	Aithalídai	Aithalidai	4	inland	2	94	6	579854	38.1093130	23.7840685
Αἰξωνή	Aiksōnḗ	Aixone	7	coast	8	237	7	579855	37.8663340	23.7548945
Ἁλαὶ Αἰξωνίδες	Halaì Aiksōnídes	Halai Aixonides	7	coast	6	119	49	579939	37.8523455	23.7700440
Ἁλαὶ Ἀραφηνίδες	Halaì Araphēnídes	Halai Araphenides	2	coast	5	195	50	579940	37.9871920	24.0044720
Ἁλιμοῦς	Halimoûs	Halimous	4	city	3	79	51	579941	37.9036115	23.7223540
Ἀλωπεκή	Alōpekḗ	Alopeke	10	city	10	255	8	579858	37.9500000	23.7499970
Ἁμαξάντεια	Hamksánteia	Hamaxanteia	8	city	1	64	52	585916		
Ἀμφιτροπή	Amphitropḗ	Amphitrope	10	coast	2	73	9	579862	37.7091250	24.0093970
Ἀναγυροῦς	Anaguroûs	Anagyrous	1	coast	6	142	10	579863	37.8300155	23.8048430
Ἀνακαία	Anakaía	Anakaia	8	inland	3	39	11	579864	38.1409970	23.8891800
Ἀνάφλυστος	Anáphlustos	Anaphlystos	10	coast	10	172	12	579866	37.7273205	23.9508185
Ἀραφήν	Araphḗn	Araphen	2	coast	2	47	19	579876	38.0199870	24.0016700
Ἀτήνη	Atḗnē	Atene	10	coast	3	47	20	579883	37.6753465	23.9664180
Αὐρίδαι	Aurídai	Auridai	8	coast	1	24	22	585892		
Ἄφιδνα	Áphidna	Aphidna	9	inland	16	229	17	579873	38.2055285	23.8361515
Ἀχαρναί	Akharnaí	Acharnai	6	inland	22	452	1	579842	38.0834733	23.7340883
Ἀχερδοῦς	Akherdoûs	Acherdous	8	coast	1	43	2	585882		
Βατή	Batḗ	Bate	2	city	1.5	45	24	579892	37.9942290	23.7616970
Βῆσα	Bē̂sa	Besa	10	coast	2	28	26	579894	37.7465255	24.0077130
Βουτάδαι	Boutádai	Boutadai	6	city	1	36	27	579897	37.9876090	23.7103940
Γαργηττός 	Gargēttós	Gargettos	2	inland	4	138	47	579935	38.0165425	23.8718570
Δαιδαλίδαι	Daidalídai	Daidalidai	7	city	1	17	30	579905	37.9570440	23.7498880
Δειραδιῶται	Deiradiō̂tai              	Deiradiotai	4	coast	2	55	31	579906	37.8241815	24.0412725
Δεκέλεια	Dekéleia	Dekeleia	8	inland	4	64	32	579907	38.1330278	23.7918718
Διόμεια	Diómeia	Diomeia	2	city	1	37	33	579912	37.9674390	23.7343350
Εἰρεσίδαι	Eiresídai	Eiresidai	5	city	1	21	34	579915	37.9978220	23.7131100
Εἰτέα	Eitéa	Eitea	5	inland	2	32	35	585906		
Εἰτέα	Eitéa	Eitea	10	inland	1.5	20	36	579916	38.2027135	23.9674130
Ἑκάλη	Hekálē	Hekale	4	inland	1	28	53	579944	38.1344545	23.9088420
Ἐλαιοῦς	Elaioûs	Elaious	8	coast	1	30	37	579917	38.0830790	23.5327075
Ἐλευσίς	Eleusís	Eleusis	8	coast	11	198	38	579920	38.0411010	23.5374010
Ἐπιεικίδαι	Epieikídai	Epieikidai	7	inland	1	17	39	585907		
Ἐπικηφισία	Epikēphisía	Epikephisia	6	city	1.5	42	40	579922	38.0012810	23.7032750
Ἐρίκεια	Eríkeia	Erikeia	2	city	1	23	42	579926	38.0028190	23.7409160
Ἑρμός	Hermós	Hermos	5	city	2	54	54	579949	38.0192880	23.6666260
Ἐροιάδαι	Eroiádai	Eroiadai	8	inland	1	21	43	579927	38.0146020	23.6462750
Ἐροιάδαι	Eroiádai	Eroiadai	10	inland	1	21	44	585909		
Ἐρχία	Erkhía	Erchia	2	inland	6.5	202	41	579924	37.9672025	23.9186855
Ἑστιαία	Hestiaía	Hestiaia	2	city	1	22	55	579950	38.0070010	23.8139360
Εὐπυρίδαι	Eupurídai	Eupyridai	4	inland	2	97	46	579933	38.0664690	23.7114880
Εὐώνυμον	Euṓnumon	Euonymon	1	city	10	227	45	579932	37.9168675	23.7373815
Θημακός	Thēmakós	Themakos	1	city	1	25	134	585967		
Θοραί	Thoraí	Thorai	10	coast	4	55	135	580118	37.7934260	23.9376290
Θόρικος 	Thórikos	Thorikos	5	coast	5.5	134	136	580119	37.7354010	24.0515120
Θρία	Thría	Thria	6	coast	7	101	137	580120	38.0544725	23.5923075
Θυμαιτάδαι	Thumaitádai	Thymaitadai	8	city	2	26	138	580123	37.9675250	23.6199130
Ἰκάριον	Ikárion	Ikarion	2	inland	4.5	128	58	579958	38.1050635	23.8908555
Ἱπποτομάδαι	Hipptomádai	Hippotomadai	6	city	1	12	56	585917		
Ἰφιστιάδαι	Iphistiádai	Iphistiadai	5	city	1	40	60	579961	38.0522180	23.7865510
Ἰωνίδαι	Iōnídai	Ionidai	2	inland	1.5	30	59	579960	38.0285640	23.9144750
Κειριάδαι	Keiriádai	Keiriadai	8	city	2	39	62	579970	37.9729240	23.7133700
Κεραμεῖς	Kerameîs	Kerameis	5	city	6	151	65	579975	37.9781270	23.7188000
Κεφαλή	Kephalḗ	Kephale	5	coast	9	130	63	579971	37.8118020	23.9963770
Κηδοί	Kēdoí	Kedoi	1	coast	2	44	61	579969	37.9368110	23.7508270
Κηττός	Kēttós	Kettos	4	city	3	55	66	579978	38.0137260	23.6238050
Κηφισιά	Kēphisiá	Kephisia	1	inland	6	250	64	579972	38.0851150	23.8206450
Κίκυννα	Kíkunna	Kikynna	5	inland	2	59	67	579979	37.9383630	23.8393470
Κοθωκίδαι 	Kothōkídai	Kothokidai	6	coast	1.5	57	76	579995	38.0975090	23.5896040
Κοίλη	Koílē	Koile	8	city	3	78	68	579980	37.9698400	23.7185050
Κολλυτός	Kollutós	Kollytos	2	city	3	106	69	582864	37.9585930	23.7111330
Κολωναί	Kolōnaí	Kolonai	4	inland	2	23	70	579983	38.1978150	23.9181797
Κολωναί	Kolōnaí	Kolonai	10	inland	2	23	71	579984	38.1250000	23.8750000
Κολωνός	Kolōnós	Kolonos	2	city	2	58	72	579985	37.9990700	23.7218850
Κονθύλη	Konthúlē	Konthyle	3	inland	1	24	73	579987	37.9587830	23.9293110
Κόπρος	Kópros	Kopros	8	coast	2	41	74	579989	38.0477610	23.5574630
Κορυδαλλός	Korudallós	Korydallos	8	city	1	14	75	579992	37.9856630	23.6418690
Κριώα	Kriṓa	Krioa	10	inland	1	47	77	585923		
Κρωπίδαι	Krōpídai	Kropidai	4	inland	1	39	78	579996	38.0896515	23.6942780
Κυδαθήναιον	Kudantídai	Kydathenaion	3	city	11.5	295	80	582862	37.9703250	23.7225730
Κυδαντίδαι	Kudantídai	Kydantidai	2	inland	1.5	44	79	579998	38.0473740	23.8919470
Κύθηρος	Kúthēros	Kytheros	3	inland	1.5	63	81	580004	37.9076425	23.9842950
Λακιάδαι	Lakiádai	Lakiadai	6	city	2	97	82	580006	37.9933840	23.6996040
Λαμπτραὶ καθύπερθεν	Lampraì kathúperthen	Lamptrai, Upper	1	coast	5	195.5	83	580008	37.8779240	23.8563225
